WardID,WardName,WardName_New,DistrictID,DistrictName,ProvinceID,ProvinceName,ProvinceName_New,,,Status,FullMerger
800312,Xã Cai Bộ,Xã Độc Lập,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61002,Xã Canh Tân,Xã Canh Tân,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61005,Xã Đức Thông,Xã Canh Tân,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61010,Xã Minh Khai,Xã Minh Khai,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61011,Xã Quang Trọng,Xã Minh Khai,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61008,Xã Lê Lai,Xã Thạch An,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61016,Xã Vân Trình,Xã Thạch An,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800323,Xã Tiên Thành,Xã Thạch An,3694,Huyện Quảng Hòa,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61001,Thị trấn Đông Khê,Xã Đông Khê,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61006,Xã Đức Xuân,Xã Đông Khê,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61015,Xã Trọng Con,Xã Đông Khê,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61004,Xã Đức Long,Xã Đức Long,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61014,Xã Thuỵ Hùng,Xã Đức Long,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
61009,Xã Lê Lợi,Xã Đức Long,3289,Huyện Thạch An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800228,Xã Quang Hán,Xã Quang Hán,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800231,Xã Quang Vinh,Xã Quang Hán,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800230,Xã Quang Trung,Xã Quang Trung,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800229,Xã Xuân Nội,Xã Quang Trung,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800227,Xã Tri Phương,Xã Quang Trung,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60601,Thị trấn Trùng Khánh,Xã Trùng Khánh,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60611,Xã Lăng Hiếu,Xã Trùng Khánh,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60609,Xã Đức Hồng,Xã Trùng Khánh,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60610,Xã Khâm Thành,Xã Trùng Khánh,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
800233,Xã Đoài Dương,Xã Đoài Dương,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60603,Xã Cao Thăng,Xã Đoài Dương,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60620,Xã Trung Phúc,Xã Đoài Dương,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60605,Xã Đàm Thuỷ,Xã Đàm Thủy,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60604,Xã Chí Viễn,Xã Đàm Thủy,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60616,Xã Phong Châu,Xã Đàm Thủy,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60607,Xã Đình Phong,Xã Đình Phong,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60615,Xã Ngọc Khê,Xã Đình Phong,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60614,Xã Ngọc Côn,Xã Đình Phong,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60617,Xã Phong Nặm,Xã Đình Phong,2041,Huyện Trùng Khánh,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60106,Phường Sông Bằng,Phường Nùng Trí Cao,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60105,Phường Ngọc Xuân,Phường Nùng Trí Cao,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60111,Xã Vĩnh Quang,Phường Nùng Trí Cao,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60107,Phường Sông Hiến,Phường Thục Phán,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60101,Phường Đề Thám,Phường Thục Phán,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60104,Phường Hợp Giang,Phường Thục Phán,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60110,Xã Hưng Đạo,Phường Thục Phán,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60812,Xã Hoàng Tung,Phường Thục Phán,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60108,Phường Tân Giang,Phường Tân Giang,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60102,Phường Duyệt Trung,Phường Tân Giang,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60103,Phường Hòa Chung,Phường Tân Giang,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60109,Xã Chu Trinh,Phường Tân Giang,1641,Thành phố Cao Bằng,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
60815,Xã Lê Chung,Phường Tân Giang,1943,Huyện Hòa An,246,Cao Bằng,Cao Bằng,,,TRUE,TRUE
211208,Xã Long Xuyên,Xã Bình Giang,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211211,Xã Tân Việt,Xã Bình Giang,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211205,Xã Hồng Khê,Xã Bình Giang,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211204,Xã Cổ Bì,Xã Bình Giang,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211217,Xã Vĩnh Hồng,Xã Bình Giang,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211201,Thị trấn Kẻ Sặt,Xã Kẻ Sặt,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
800059,Xã Vĩnh Hưng,Xã Kẻ Sặt,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211206,Xã Hùng Thắng,Xã Kẻ Sặt,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211217,Xã Vĩnh Hồng,Xã Kẻ Sặt,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211203,Xã Bình Xuyên,Xã Thượng Hồng,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211213,Xã Thái Hòa,Xã Thượng Hồng,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211212,Xã Thái Dương,Xã Thượng Hồng,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211210,Xã Tân Hồng,Xã Thượng Hồng,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
91357,Xã Thái Minh,Xã Thượng Hồng,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211215,Xã Thúc Kháng,Xã Thượng Hồng,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
210707,Xã Đoàn Tùng,Xã Thượng Hồng,3294,Huyện Thanh Miện,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
210717,Xã Thanh Tùng,Xã Thượng Hồng,3294,Huyện Thanh Miện,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
211215,Xã Thúc Kháng,Xã Đường An,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
91357,Xã Thái Minh,Xã Đường An,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211210,Xã Tân Hồng,Xã Đường An,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211212,Xã Thái Dương,Xã Đường An,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
211213,Xã Thái Hòa,Xã Đường An,1816,Huyện Bình Giang,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
210901,Thị trấn Cẩm Giang,Xã Cẩm Giang,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
800060,Xã Định Sơn,Xã Cẩm Giang,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
210907,Xã Cẩm Hoàng,Xã Cẩm Giang,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
210916,Xã Lương Điền,Xã Cẩm Giàng,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
210917,Xã Ngọc Liên,Xã Cẩm Giàng,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
210908,Xã Cẩm Hưng,Xã Cẩm Giàng,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
91356,Xã Phúc Điền,Xã Cẩm Giàng,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
210918,Xã Tân Trường,Xã Mao Điền,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
210906,Xã Cẩm Đông,Xã Mao Điền,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
91356,Xã Phúc Điền,Xã Mao Điền,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,FALSE
210914,Xã Đức Chính,Xã Tuệ Tĩnh,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
210912,Xã Cẩm Vũ,Xã Tuệ Tĩnh,1817,Huyện Cẩm Giàng,225,Hải Dương,Hải Phòng,,,TRUE,TRUE
